Organism Name	Organism Taxonomic ID	Assembly Accession	Assembly Name	Assembly Release Date	Assembly BioSample Accession	Assembly BioProject Accession	Assembly BioProject Lineage Parent Accessions	Source Database
Ammospiza maritima maritima	3111550	GCA_036010685.1	bAmmMar1.alt	2024-01-17	SAMN39181024	PRJNA1060855	PRJNA1061555	SOURCE_DATABASE_GENBANK
Ammospiza nelsoni	2857394	GCA_027579445.1	bAmmNel1.pri	2023-01-09	SAMN28421656	PRJNA839456	PRJNA922164	SOURCE_DATABASE_GENBANK
Ammospiza nelsoni	2857394	GCA_027579665.1	bAmmNel1.alt	2023-01-06	SAMN28421656	PRJNA839457	PRJNA922164	SOURCE_DATABASE_GENBANK
Amphibalanus amphitrite	1232801	GCA_019059575.1	NRLGWU_Aamphi_draft	2021-06-29	SAMN19549327	PRJNA734913	PRJNA533106,PRJNA649812	SOURCE_DATABASE_GENBANK
Amphiduros pacificus	1209993	GCA_949316495.1	wpAmpPaci1.1	2023-03-10	SAMEA111322514	PRJEB60106	PRJEB59396	SOURCE_DATABASE_GENBANK
Amphiduros pacificus	1209993	GCA_949316175.1	wpAmpPaci1.1 alternate haplotype	2023-04-09	SAMEA111322514	PRJEB60107	PRJEB59396	SOURCE_DATABASE_GENBANK
Amphimallon solstitiale	360071	GCA_963170755.1	icAmpSols1.1	2023-08-19	SAMEA10978893	PRJEB64917	PRJEB61997	SOURCE_DATABASE_GENBANK
Amphimallon solstitiale	360071	GCA_963170735.1	icAmpSols1.1 alternate haplotype	2023-08-19	SAMEA10978893	PRJEB64916	PRJEB61997	SOURCE_DATABASE_GENBANK
Amphipoea lucens	987875	GCA_947508005.1	ilAmpLuce6.1	2022-12-07	SAMEA14448313	PRJEB57904	PRJEB55798	SOURCE_DATABASE_GENBANK
Amphipoea lucens	987875	GCA_947507765.1	ilAmpLuce6.1 alternate haplotype	2022-12-04	SAMEA14448313	PRJEB57905	PRJEB55798	SOURCE_DATABASE_GENBANK
Amphipoea oculea	987876	GCA_945859645.1	ilAmpOcul1.1	2022-09-13	SAMEA10978951	PRJEB54834	PRJEB53731	SOURCE_DATABASE_GENBANK
Amphipoea oculea	987876	GCA_945859585.1	ilAmpOcul1.1 alternate haplotype	2022-09-13	SAMEA10978951	PRJEB54835	PRJEB53731	SOURCE_DATABASE_GENBANK
Amphipyra berbera	987877	GCA_910594945.2	ilAmpBerb1.2	2022-02-09	SAMEA7701493	PRJEB45915	PRJEB45130	SOURCE_DATABASE_GENBANK
Amphipyra berbera	987877	GCA_910595045.1	ilAmpBerb1.1 alternate haplotype	2021-07-07	SAMEA7701493	PRJEB45916	PRJEB45130	SOURCE_DATABASE_GENBANK
Amphipyra tragopoginis	689058	GCA_905220435.1	ilAmpTrag2.1	2021-02-16	SAMEA7520175	PRJEB42877	PRJEB42948	SOURCE_DATABASE_GENBANK
Amphipyra tragopoginis	689058	GCA_905220425.1	ilAmpTrag2.1 alternate haplotype	2021-02-14	SAMEA7520175	PRJEB42876	PRJEB42948	SOURCE_DATABASE_GENBANK
Ampullaceana balthica	582868	GCA_944989445.1	Rbalt_genome_v1	2022-07-13	SAMEA110183270	PRJEB41734	PRJNA706923	SOURCE_DATABASE_GENBANK
Amyelois transitella	680683	GCA_001186105.1	ASM118610v1	2015-07-22	SAMN03009087	PRJNA254820	PRJNA163993	SOURCE_DATABASE_GENBANK
Amyelois transitella	680683	GCA_032362475.1	ilAmyTran1.1 alternate haplotype	2023-10-04	SAMN27624993	PRJNA827938	PRJNA555319,PRJNA836588	SOURCE_DATABASE_GENBANK
Amyelois transitella	680683	GCA_032362555.1	ilAmyTran1.1	2023-10-04	SAMN27624993	PRJNA827935	PRJNA555319,PRJNA836588	SOURCE_DATABASE_GENBANK
Anabas testudineus	64144	GCA_900324465.3	fAnaTes1.3	2021-04-24	SAMEA104026376	PRJEB25768	PRJEB30393	SOURCE_DATABASE_GENBANK
Anabas testudineus	64144	GCA_900650485.1	fAnaTes1.2 alternate haplotype	2019-02-07	SAMEA104026376	PRJEB30391	PRJEB30393	SOURCE_DATABASE_GENBANK
